payee,mn_count,power
3S86y1xmtGZEn3UactBMQ8ByxCbHUsvdZ7,1,0.036670334
3gjBMeMAtL9PB9LxoJxzBQMpF4h2iyZzEt,1,0.036670334
3TTfkHdCszt6utdToHTWY5GjwwnyjThi8T,1,0.036670334
3Tgw9xCZVTWhCbKLj3pRQaK1ckiaZWQCYj,1,0.036670334
3cWCZkJgsEBar2kTAVRnvDWL9yc8dQTukk,1,0.036670334
3fCFL6T6yGR8pQcTN2P5qmdh7FXQXc2Fz6,1,0.036670334
3TE7YbJwfAHjWSibr1TLTaQ4V23wMhGH8h,1,0.036670334
3cUbe8J1zHcKwVSSpxBHFvL9nF1yzx165v,1,0.036670334
3hXTqnMEEfZtHFFKmxcQDcVMguSt6NjpSc,1,0.036670334
3gpcFfBDcrtE4jdg6deVx4XEXEu89u3cbH,1,0.036670334
3UCULJu8Jg3mYF4gd6hX93ruATcEPcf85u,1,0.036670334
3REYLrvJRBXpkdvTHdshzPX2KECB1ZUsqx,1,0.036670334
3fXYKZK6XR9ix5UxUP4yFGYSaKJWhb3LU6,1,0.036670334
3cj8jH9Tq4KKYwVzGGbp66t3bvASfqzmtt,1,0.036670334
3j92jrDYkMEAVK7nYYPGDxEbdbKfizbc8y,1,0.036670334
3kNLmqKTvNp9uaBC9meeraRgdYq2iV2wFx,1,0.036670334
3dqpbAvbJNXvSgSQaXS18GdvuTDEkoFJXU,1,0.036670334
3dqxf5LezspyZf12kV6h89sJX4Gx7548bZ,1,0.036670334
3Zci8M2BK42BBKjekwDPJvqGRGmxuwuDYQ,1,0.036670334
3nYat8fsbvHqKRTyeH9NpSQ5zuocTuT11L,1,0.036670334
3dPy1namsc4LBWV7C3Jd1QaxrsVtsRLQBn,1,0.036670334
3b6Zkk2cHu4ScsDXpHAXQM75ocNUsKA6n1,1,0.036670334
3g9u4YZa9gs2WznqtSaALL4ezBRKUrwV5a,1,0.036670334
3eqByukSGATjsn3siRELfURBzERfR8TLYm,1,0.036670334
3iRCZW2B3ZDirsff5oRmLh1X5u59V3npkG,1,0.036670334
3W1sLS56Q4NASG4RsQqxKjcsbn6YHB37bs,1,0.036670334
3mXqgVp9anjMQzzKFqSFy68ZKnj44tsxw6,1,0.036670334
3R3Xih266XgEd3WbQrBUFRFCiVkPfCTbiU,1,0.036670334
3g4bfpPeX7kZRjLpKw8XvnKTYA4hBuX4xX,1,0.036670334
3V3jrKR3EmDqC15zKnGXCZMQdC4pQF572d,1,0.036670334
3X5gAzEKqeS7NeGGLkbsXgKXy7XUB1XvkC,1,0.036670334
3buoVrjEx3yQRFQdj3n987LTpKt3tAZS1K,1,0.036670334
3fp5anDYkKEREdZBo3qhvH92s7KKReHtpr,1,0.036670334
3jo6uKWxTzrTirDLucJNuYhoQYq9uxaN3B,1,0.036670334
3hQg4duu5orJALwhLHq6Z5nbdRcBjWfLbK,1,0.036670334
3ShptUteVohTD96YJzFMFhU3H9hz4BVWx4,1,0.036670334
3nZxuthqMe9wQ6jRe55EtnyATE6kTzef2R,1,0.036670334
3gtfymWbSKQR52ndVkKf9tDppfQ46MXDDo,1,0.036670334
3Y9suH17chwgRziwxAA6n2zqiCJhbADTuF,1,0.036670334
3ZidioyAXtYcTJzKERnoNM8ZrY52u9TMv5,1,0.036670334
3nHHwottAb9LgJTZmzUebUjpTnyAW1DVmh,1,0.036670334
3at6XEMmk1XTqojNCuYnMdFEVfz4dMRH8H,1,0.036670334
3gsQCUy9Z6WW4BXsSySswxpPesRYZYgo2a,1,0.036670334
3SYbqNCwQWfDQEHoxp91hgLEiLzAQfqonB,1,0.036670334
